iter	Logloss
0	0.3567305014
1	0.2742522382
2	0.2612606545
3	0.2581240157
4	0.257023906
5	0.2563846466
6	0.2559257415
7	0.2555773864
8	0.2554105557
9	0.2545352106
10	0.254174743
11	0.2539928758
12	0.2539026755
13	0.253765654
14	0.2535956041
15	0.2534580682
16	0.2533214076
17	0.2531185438
18	0.2529698797
19	0.2529271339
20	0.2528521319
21	0.2527388381
22	0.252648836
23	0.2526172017
24	0.2525770329
25	0.2525346765
26	0.2524797739
27	0.2524514937
28	0.2524006973
29	0.2523594629
30	0.2523278033
31	0.2523068964
32	0.2522922253
33	0.2522670831
34	0.2522203505
35	0.2521490981
36	0.2521039417
37	0.2520859012
38	0.2520545237
39	0.2520380044
40	0.2520219176
41	0.2520000827
42	0.2519623553
43	0.2519267083
44	0.2519023744
45	0.2518702815
46	0.2518398433
47	0.2518197933
48	0.2517930095
49	0.2517725537
50	0.2517569007
51	0.2517411273
52	0.2517290923
53	0.2517071029
54	0.2516931707
55	0.2516736403
56	0.2516514077
57	0.2516305354
58	0.2516166995
59	0.2516107516
60	0.2515981303
61	0.2515689645
62	0.2515527649
63	0.2515463324
64	0.2515215265
65	0.2515135619
66	0.2515056549
67	0.251495567
68	0.251482623
69	0.2514695946
70	0.2514488667
71	0.2514487023
72	0.2514325306
73	0.2514245588
74	0.2514183421
75	0.2514148595
76	0.2513985144
77	0.2513948925
78	0.2513775207
79	0.2513542536
80	0.251349986
81	0.2513377483
82	0.2513235357
83	0.2513189403
84	0.251310938
85	0.2512900542
86	0.2512799487
87	0.2512684001
88	0.2512458287
89	0.2512448051
90	0.2512411485
91	0.2512308963
92	0.2512176672
93	0.2512100763
94	0.2512046088
95	0.2511980474
96	0.2511888011
97	0.2511749648
98	0.251160107
99	0.2511507995
