iter	Passed	Remaining
0	646	64049
1	1420	69600
2	1969	63677
3	2509	60219
4	2970	56437
5	3473	54419
6	4098	54448
7	4634	53292
8	5121	51788
9	5646	50821
10	6148	49749
11	6679	48983
12	7153	47874
13	7641	46941
14	8122	46028
15	8823	46325
16	9362	45712
17	9976	45446
18	10489	44717
19	11115	44463
20	11662	43872
21	12264	43483
22	12855	43037
23	13448	42586
24	14013	42039
25	14593	41534
26	15030	40638
27	15585	40077
28	16051	39298
29	16539	38591
30	17181	38242
31	17758	37736
32	18276	37106
33	18893	36674
34	19379	35990
35	20000	35556
36	20533	34961
37	21103	34432
38	21571	33739
39	22079	33118
40	22769	32765
41	23400	32315
42	24065	31901
43	24644	31366
44	25188	30785
45	25916	30423
46	26541	29929
47	27254	29525
48	27829	28965
49	28356	28356
50	29012	27874
51	29532	27260
52	30065	26661
53	30652	26111
54	31220	25544
55	31872	25042
56	32414	24453
57	32928	23844
58	33587	23340
59	34233	22822
60	34904	22315
61	35565	21797
62	36291	21314
63	36924	20769
64	37514	20199
65	38162	19659
66	38702	19062
67	39303	18495
68	39904	17927
69	40451	17336
70	40950	16726
71	41429	16111
72	41955	15517
73	42570	14957
74	43139	14379
75	43767	13821
76	44327	13240
77	44985	12688
78	45564	12112
79	46139	11534
80	46683	10950
81	47140	10347
82	47877	9806
83	48538	9245
84	49031	8652
85	49577	8070
86	50170	7496
87	50909	6942
88	51652	6384
89	52236	5804
90	53016	5243
91	53604	4661
92	54305	4087
93	54935	3506
94	55538	2923
95	56127	2338
96	56767	1755
97	57274	1168
98	57803	583
99	58422	0
